일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
2013-11-15,12.3,18.2,13:10,8.2,6:23,10
2013-11-16,12.4,17.5,13:42,9,5:08,8.5
2013-11-17,10.5,14.2,12:10,6.2,23:50,8
2013-11-18,5.8,10.6,13:46,3.5,23:56,7.1
2013-11-19,6.1,9.9,14:34,3.4,0:13,6.5
2013-11-20,6.3,11.3,14:28,3.7,4:46,7.6
2013-11-21,6.7,11.9,14:22,1.9,4:30,10
2013-11-22,8.3,14.4,14:24,3.7,5:46,10.7
2013-11-23,8.9,14.2,13:37,5.5,5:15,8.7
2013-11-24,12.9,16.2,13:13,7.9,2:00,8.3
2013-11-25,10.5,16.7,1:21,5.7,23:52,11
2013-11-26,6.6,10.5,13:56,3.6,6:57,6.9
2013-11-27,7.1,13.3,13:21,1.2,23:55,12.1
2013-11-28,2,5.9,12:36,-0.8,7:16,6.7
2013-11-29,4.1,8.4,15:00,-0.1,7:28,8.5
2013-11-30,6.7,12.4,14:45,2.3,6:46,10.1
2013-12-01,9,14.5,14:00,5,7:19,9.5
2013-12-02,7.5,12.5,14:14,3.1,7:13,9.4
2013-12-03,7.3,12.5,14:04,3.9,6:37,8.6
2013-12-04,8.6,14.2,14:18,4.9,6:52,9.3
2013-12-05,10,14.1,13:49,6.2,3:58,7.9
2013-12-06,8.7,13.3,13:37,5.5,24:00:00,7.8
2013-12-07,7.6,12.3,14:20,3.9,6:56,8.4
2013-12-08,9,14.1,12:44,5.8,7:17,8.3
2013-12-09,10.5,14,12:08,6.9,0:01,7.1
2013-12-10,5.4,9.8,14:41,2.7,23:51,7.1
2013-12-11,3.5,7.1,11:39,1,23:48,6.1
2013-12-12,4.8,8.4,22:49,-0.3,5:58,8.7
2013-12-13,3.4,7.6,0:01,-1.6,23:51,9.2
2013-12-14,3.9,9,14:51,-1.7,0:15,10.7
2013-12-15,3,7.6,14:52,-0.1,7:33,7.7
2013-12-16,4.9,9,12:26,-0.1,4:26,9.1
2013-12-17,7.4,10,14:55,6,23:58,4
2013-12-18,6.6,8.6,13:01,4.9,23:53,3.7
2013-12-19,2.9,6.1,13:44,-0.6,23:10,6.7
2013-12-20,2.1,6.7,15:06,-1.3,7:03,8
2013-12-21,3.4,9.1,14:15,0,6:36,9.1
2013-12-22,3.5,8.8,15:01,-1.2,5:31,10
2013-12-23,3.9,8.5,14:13,0.9,6:19,7.6
2013-12-24,4.3,10,13:58,-0.4,6:20,10.4
2013-12-25,8.4,13.7,12:41,3.4,7:50,10.3
2013-12-26,5.1,8.5,0:47,2.8,23:16,5.7
2013-12-27,1,5.3,15:06,-2.2,7:42,7.5
2013-12-28,-0.4,4.4,14:53,-4,7:25,8.4
2013-12-29,1.3,6,14:53,-3,5:33,9
2013-12-30,5,9.2,15:13,0.5,5:15,8.7
2013-12-31,6.9,10.4,13:49,3.1,7:31,7.3
2014-01-01,7.3,9.9,14:20,4.9,7:52,5
2014-01-02,7.4,12,14:14,3.8,7:34,8.2
2014-01-03,8.1,13.5,14:25,5.1,7:39,8.4
2014-01-04,7.4,12.4,14:04,4.6,7:55,7.8
2014-01-05,6.5,11.3,14:33,3.5,8:15,7.8
2014-01-06,5.5,11.1,13:43,0.6,6:53,10.5
2014-01-07,6.9,10.7,13:35,4,5:41,6.7
2014-01-08,4.1,6.9,3:21,2.3,13:52,4.6
2014-01-09,-1.4,3,0:04,-5.1,23:51,8.1
2014-01-10,-0.4,4.5,14:59,-5.4,0:40,9.9
2014-01-11,1.8,6.2,15:05,-1.7,7:40,7.9
2014-01-12,3.1,7.8,14:44,-0.6,6:11,8.4
2014-01-13,0.6,5.8,15:00,-2.6,7:33,8.4
2014-01-14,1.2,7.2,14:48,-3.3,7:21,10.5
2014-01-15,1.7,7.3,14:46,-2.1,7:13,9.4
2014-01-16,3,8.4,13:56,-1.1,6:54,9.5
2014-01-17,4.1,9,14:11,0.8,7:33,8.2
2014-01-18,2.5,7.1,14:39,-0.8,23:59,7.9
2014-01-19,2.3,7.4,14:02,-3.1,7:08,10.5
2014-01-20,5.2,9.3,13:50,2.2,23:59,7.1
2014-01-21,0.3,4.5,14:41,-2.4,23:46,6.9
2014-01-22,0.6,6.2,15:25,-4,6:16,10.2
2014-01-23,3.8,9.4,13:29,-1,4:29,10.4
2014-01-24,9.1,14.5,15:25,3.5,3:27,11
2014-01-25,12,15.3,12:01,8.3,23:55,7
2014-01-26,5.8,11.3,14:54,2.5,23:41,8.8
2014-01-27,6.4,10.7,15:55,0.9,6:40,9.8
2014-01-28,9.2,15,14:44,5.9,5:33,9.1
2014-01-29,9.5,14.1,14:30,4.2,4:42,9.9
2014-01-30,11.1,14.6,13:14,8.6,24:00:00,6
2014-01-31,9,15.5,14:04,4.1,7:24,11.4
2014-02-01,12.3,16.8,14:48,6.7,1:26,10.1
2014-02-02,12.3,16.5,13:55,10.1,0:43,6.4
2014-02-03,9,12.9,12:01,1.4,23:58,11.5
2014-02-04,-2,3.2,15:06,-5.6,7:30,8.8
2014-02-05,-0.2,5.4,13:46,-5.4,6:40,10.8
2014-02-06,3.2,6.2,13:45,0.9,10:02,5.3
2014-02-07,4.7,6.8,14:31,2.6,4:29,4.2
2014-02-08,5,9.3,14:11,2.3,6:07,7
2014-02-09,4.8,8.6,12:13,2.7,7:31,5.9
2014-02-10,1.1,3.4,13:43,-0.1,23:31,3.5
2014-02-11,1.5,6.1,15:26,-0.8,5:02,6.9
2014-02-12,3.4,8.9,13:04,1,4:29,7.9
2014-02-13,4.1,7.3,12:06,2.4,3:52,4.9
2014-02-14,3.6,4.5,0:27,2.9,23:22,1.6
2014-02-15,5,12,14:20,0.8,4:32,11.2
2014-02-16,6.9,11.5,12:32,1.3,7:14,10.2
2014-02-17,7,11.3,10:36,4.4,23:55,6.9
2014-02-18,3,4.4,0:01,1.9,15:23,2.5
2014-02-19,3.1,3.9,22:58,2,0:58,1.9
2014-02-20,6.2,11.8,13:02,1.2,6:52,10.6
2014-02-21,5,10.4,13:07,0.3,7:11,10.1
2014-02-22,6.7,13,13:47,2.4,7:02,10.6
